DateTime,Delta,Theta,Alpha,Beta,Gamma
2024-06-12 17:49:19,1338.754560516775,748.6828712516043,93.71275360362611,164.97654682238357,73.75136317698598
2024-06-12 17:49:20,1336.822441220291,748.6822809322923,93.71265095200701,164.9764037131347,73.75149236097461
2024-06-12 17:49:21,1335.9748158080542,748.6820213616296,93.7126004862191,164.97634160108095,73.75154835893743
2024-06-12 17:49:22,1336.7944707765168,748.6822753411334,93.71263913279007,164.97640426973862,73.75149211866665
2024-06-12 17:49:23,1338.042056485311,748.6826552430025,93.71271195273572,164.97649531346457,73.75140996361782
2024-06-12 17:49:24,1338.627385880066,748.6828301521912,93.71275214228434,164.97653629391402,73.75137318333029
2024-06-12 17:49:25,1338.0975519403203,748.6826695780289,93.71272308204338,164.97649740736136,73.75140807981494
2024-06-12 17:49:26,1336.924596814798,748.6823123364446,93.71265904167154,164.97641089498234,73.7514858041325
2024-06-12 17:49:27,1334.992553764603,748.6817168451555,93.71254850421614,164.97626737980983,73.75161497493751
2024-06-12 17:49:28,1334.627094388356,748.6816029605786,93.71252926903522,164.97623915357775,73.75163970725708
2024-06-12 17:49:29,1338.4664540319613,748.6827834283379,93.71273467763868,164.97652642888204,73.75138211588634
2024-06-12 17:49:30,1339.4418884416061,748.6830773858353,93.71278590671298,164.97659818331513,73.75131813270261
2024-06-12 17:49:31,1337.758409183729,748.6825675593908,93.71269968482954,164.9764737120448,73.75142968548724
2024-06-12 17:49:32,1335.9243954335966,748.6820060995923,93.71260073660162,164.97633718494274,73.75155194137301
2024-06-12 17:49:33,1336.3837504587605,748.6821474089631,93.71262840770662,164.97637072429293,73.75152133438428
2024-06-12 17:49:34,1338.7743069637431,748.6828769864534,93.71275426860754,164.97654838970604,73.75136196748024
2024-06-12 17:49:35,1336.7012655847343,748.6822456218582,93.71264198085653,164.97639497846671,73.75149929699852
2024-06-12 17:49:36,1336.2928718919143,748.682119356245,93.71261941022144,164.9763648348814,73.75152705681136
2024-06-12 17:49:37,1337.780716150936,748.6825760864942,93.71269302780775,164.97647756311136,73.75142692867489
2024-06-12 17:49:38,1337.4852201948534,748.6824846722171,93.71268448466851,164.97645380299713,73.75144769996612
2024-06-12 17:49:39,1338.1830790502922,748.6826952909039,93.71272722497926,164.9765038036228,73.75140246018256
2024-06-12 17:49:40,1337.9561553393828,748.6826276066962,93.71271020417637,164.97648818054523,73.75141649475854
2024-06-12 17:49:41,1337.7304149276213,748.6825599326068,93.71269865853607,164.97647165792904,73.75143123702256
2024-06-12 17:49:42,1336.8060786223027,748.6822787623086,93.71265243840264,164.97640240480106,73.75149266426205
2024-06-12 17:49:43,1336.2287122776295,748.6821011765496,93.71262246506366,164.97635870680142,73.75153137100273
2024-06-12 17:49:44,1336.5944658055528,748.6822109154949,93.712639994431,164.97638617554816,73.75150764458698
2024-06-12 17:49:45,1337.0496953858608,748.6823504149122,93.71266028066451,164.976421066606,73.75147686583878
2024-06-12 17:49:46,1338.3681278947574,748.6827537965648,93.7127238220003,164.97652048907372,73.75138800479992
2024-06-12 17:49:47,1337.2394697602592,748.6824101704717,93.71266730152283,164.9764367674817,73.75146363128678
2024-06-12 17:49:48,1336.5779120272625,748.6822073763028,93.712632889186,164.97638713817386,73.75150792022609
2024-06-12 17:49:49,1338.237584137718,748.6827141766407,93.71272149534848,164.9765098287597,73.75139710736613
2024-06-12 17:49:50,1336.9858597791856,748.6823320713843,93.71265648859406,164.97641613536354,73.75148043130054
2024-06-12 17:49:51,1335.3445786492875,748.6818269516068,93.71256812220021,164.97629294748975,73.75159035426762
2024-06-12 17:49:52,1336.4467889796138,748.6821675475971,93.71262731812436,164.9763769131509,73.75151659384302
2024-06-12 17:49:53,1337.05349722491,748.6823544255149,93.71265146842306,164.97642454121683,73.7514751203685
2024-06-12 17:49:54,1337.8771709479638,748.6826060592191,93.7126936875818,164.97648546032494,73.75141967413506
2024-06-12 17:49:55,1337.5578995988194,748.6825076253732,93.71268679330416,164.97645925406806,73.75144223604806
2024-06-12 17:49:56,1336.4337278044172,748.6821611353291,93.71263364387424,164.97637388597707,73.75151890886801
2024-06-12 17:49:57,1335.789278616779,748.6819653312864,93.71258579917983,164.97632890446138,73.75155997470536
2024-06-12 17:49:58,1334.1987119642204,748.6814718896048,93.71248924499483,164.97621045195544,73.75166614758534
2024-06-12 17:49:59,1335.364627954602,748.6818326098295,93.71256512803618,164.97629573656366,73.75158903942781
2024-06-12 17:50:00,1338.380936777247,748.682756350587,93.71273681723521,164.97651867637126,73.75138892051504
2024-06-12 17:50:01,1339.0145759158702,748.6829495548684,93.7127662263251,164.9765664183454,73.75134617616544
2024-06-12 17:50:02,1338.0873332211347,748.6826697755868,93.71271487076476,164.9764989592565,73.75140690596581
2024-06-12 17:50:03,1337.0736436551865,748.6823613272471,93.71265989626171,164.9764242334977,73.75147409359121
2024-06-12 17:50:04,1337.4139149810119,748.682463881525,93.71268384393395,164.976447796898,73.751452354576
2024-06-12 17:50:05,1337.6368433210707,748.6825303902692,93.71269913801751,164.97646318868462,73.75143827944191
2024-06-12 17:50:06,1337.6806491795417,748.6825453299656,93.71269540538223,164.97646781197523,73.75143411621009
2024-06-12 17:50:07,1337.7745763718506,748.682575238206,93.71269363529886,164.97647649531908,73.75142677303002
2024-06-12 17:50:08,1335.5954421679576,748.6819057919271,93.71257862022196,164.97631345499389,73.75157312512552
2024-06-12 17:50:09,1335.0211047108871,748.6817271037136,93.71255412602362,164.97626793434787,73.75161246167146
